player_id,name,week,ppr_points,position,team,season
00-0033537,Deshaun Watson,1,10.66,QB,CLE,2024
00-0032764,Derrick Henry,1,10.6,RB,BAL,2024
00-0036040,Juwan Johnson,1,10.6,TE,NO,2024
00-0033555,Mack Hollins,1,10.5,WR,BUF,2024
00-0036355,Justin Herbert,1,10.36,QB,LAC,2024
00-0037834,Brock Purdy,1,10.34,QB,SF,2024
00-0038124,Christian Watson,1,10.3,WR,GB,2024
00-0033699,Austin Ekeler,1,10.2,RB,WAS,2024
00-0039855,Jalen McMillan,1,10.2,WR,TB,2024
00-0034827,D.J. Moore,1,10.0,WR,CHI,2024
00-0039150,Bryce Young,1,9.64,QB,CAR,2024
00-0039361,Bucky Irving,1,9.6,RB,TB,2024
00-0033943,Josh Reynolds,1,9.5,WR,DEN,2024
00-0037809,Chigoziem Okonkwo,1,9.5,TE,TEN,2024
00-0034960,Jakobi Meyers,1,9.4,WR,LV,2024
00-0034407,Ray-Ray McCloud,1,9.2,WR,ATL,2024
00-0035250,Devin Singletary,1,9.2,RB,NYG,2024
00-0036196,Gabe Davis,1,9.2,WR,JAX,2024
00-0037291,Jalen Nailor,1,9.1,WR,MIN,2024
00-0039901,Keon Coleman,1,9.1,WR,BUF,2024
00-0037816,Romeo Doubs,1,9.0,WR,GB,2024
00-0036893,Najee Harris,1,8.9,RB,PIT,2024
00-0038977,Tank Dell,1,8.9,WR,HOU,2024
00-0036244,Colby Parkinson,1,8.7,TE,LA,2024
00-0023459,Aaron Rodgers,1,8.58,QB,NYJ,2024
00-0039065,Sam LaPorta,1,8.5,TE,DET,2024
00-0033885,David Njoku,1,8.4,TE,CLE,2024
00-0032775,Demarcus Robinson,1,8.2,WR,LA,2024
00-0039075,Puka Nacua,1,8.2,WR,LA,2024
00-0036442,Joe Burrow,1,8.06,QB,CIN,2024
00-0033119,Jacoby Brissett,1,8.04,QB,NE,2024
00-0033288,George Kittle,1,8.0,TE,SF,2024
00-0034837,Calvin Ridley,1,8.0,WR,TEN,2024
00-0037744,Trey McBride,1,8.0,TE,ARI,2024
00-0030035,Adam Thielen,1,7.9,WR,CAR,2024
00-0034348,Courtland Sutton,1,7.8,WR,DEN,2024
00-0038559,Michael Wilson,1,7.5,WR,ARI,2024
00-0039342,Xavier Legette,1,7.5,WR,CAR,2024
00-0036550,Rashod Bateman,1,7.3,WR,BAL,2024
00-0038555,Tank Bigsby,1,7.3,RB,JAX,2024
00-0039918,Caleb Williams,1,7.22,QB,CHI,2024
00-0037276,Ty Chandler,1,7.2,RB,MIN,2024
00-0039032,Tyjae Spears,1,7.2,RB,TEN,2024
00-0034351,Dallas Goedert,1,7.1,TE,PHI,2024
00-0036252,Michael Pittman,1,7.1,WR,IND,2024
00-0030279,Keenan Allen,1,6.9,WR,CHI,2024
00-0038544,Quentin Johnston,1,6.8,WR,LAC,2024
00-0038797,Emanuel Wilson,1,6.8,RB,GB,2024
00-0036637,Noah Gray,1,6.7,TE,KC,2024
00-0036894,Pat Freiermuth,1,6.7,TE,PIT,2024
00-0039152,Will Levis,1,6.68,QB,TEN,2024
00-0038994,Jordan Addison,1,6.5,WR,MIN,2024
00-0030506,Travis Kelce,1,6.4,TE,KC,2024
00-0029604,Kirk Cousins,1,6.2,QB,ATL,2024
00-0028118,Tyrod Taylor,1,6.14,QB,NYJ,2024
00-0029892,Kyle Juszczyk,1,6.0,FB,SF,2024
00-0034485,Jonathan Owens,1,6.0,SS,CHI,2024
00-0036425,DeeJay Dallas,1,6.0,RB,ARI,2024
00-0037801,Kavontae Turpin,1,6.0,WR,DAL,2024
00-0035640,DK Metcalf,1,5.9,WR,SEA,2024
00-0030061,Zach Ertz,1,5.8,TE,WAS,2024
00-0038794,Jaleel McLaughlin,1,5.8,RB,DEN,2024
00-0034364,Jordan Akins,1,5.7,TE,CLE,2024
00-0038996,Tucker Kraft,1,5.7,TE,GB,2024
00-0035535,Darius Slayton,1,5.6,WR,NYG,2024
00-0038619,Andrei Iosivas,1,5.6,WR,CIN,2024
00-0034830,Hayden Hurst,1,5.3,TE,LAC,2024
00-0038597,Chase Brown,1,5.3,RB,CIN,2024
00-0032392,Austin Hooper,1,5.1,TE,NE,2024
00-0036345,K.J. Osborn,1,5.1,WR,NE,2024
00-0036275,D'Andre Swift,1,5.0,RB,CHI,2024
00-0038098,Pierre Strong,1,5.0,RB,CLE,2024
00-0035710,Daniel Jones,1,4.94,QB,NYG,2024
00-0033009,Tyler Boyd,1,4.8,WR,TEN,2024
00-0034829,Mike Gesicki,1,4.8,TE,CIN,2024
00-0036261,Brandon Aiyuk,1,4.8,WR,SF,2024
00-0039355,Luke McCaffrey,1,4.8,WR,WAS,2024
00-0035249,Josh Oliver,1,4.7,TE,MIN,2024
00-0038104,Tyquan Thornton,1,4.7,WR,NE,2024
00-0033357,Taysom Hill,1,4.6,TE,NO,2024
