player_id,name,position,projected_points
4360423,Michael Penix Jr.,QB,250.85697836
3045147,James Conner,RB,250.13734181
4683062,Xavier Worthy,WR,248.35161611
3121422,Terry McLaurin,WR,247.54123806
3912547,Sam Darnold,QB,241.91503356
4430878,Jaxon Smith-Njigba,WR,241.01890089
4432708,Marvin Harrison Jr.,WR,240.06068813
4047650,DK Metcalf,WR,239.89511108
4569618,Garrett Wilson,WR,239.7761841
4567048,Kenneth Walker III,RB,239.03304479
3915416,DJ Moore,WR,238.64680165
4685472,Tetairoa McMillan,WR,234.82271765
16737,Mike Evans,WR,234.74360905
4429615,Zay Flowers,WR,232.54456679
8439,Aaron Rodgers,QB,232.2678208
4241463,Jerry Jeudy,WR,231.69136586
3925357,Calvin Ridley,WR,230.82528041
3040151,George Kittle,TE,227.8892189
3128429,Courtland Sutton,WR,227.59500972
4259545,D'Andre Swift,RB,226.66898448
4372016,Jaylen Waddle,WR,226.06499869
4432710,TreVeyon Henderson,RB,224.95163335
4427366,Breece Hall,RB,223.67043449
4241478,DeVonta Smith,WR,222.77974683
3916148,Tony Pollard,RB,221.87468362
3916433,Jakobi Meyers,WR,219.90971966
4426354,George Pickens,WR,219.23267582
4426388,Jameson Williams,WR,218.79057779
4431299,Rome Odunze,WR,217.62116214
3042519,Aaron Jones Sr.,RB,216.54982886
4035538,David Montgomery,RB,213.55765306
3917792,Daniel Jones,QB,213.22039632
4685415,Travis Hunter,WR,212.85686194
4361529,Isiah Pacheco,RB,211.22748999
4361370,Chris Olave,WR,209.91451362
4568490,RJ Harvey,RB,207.55199966
4360516,Tyrone Tracy Jr.,RB,205.59512762
4701936,Matthew Golden,WR,203.92821338
4569987,Jaylen Warren,RB,202.51453206
3126486,Deebo Samuel,WR,202.5018139
2977187,Cooper Kupp,WR,202.4935094
2976212,Stefon Diggs,WR,201.9895961
4035687,Michael Pittman Jr.,WR,201.41195412
4428209,Ricky Pearsall,WR,198.61335291
4373678,Khalil Shakir,WR,197.02714748
3886598,Jauan Jennings,WR,193.49031387
4819231,Kaleb Johnson,RB,192.20755444
4430027,Sam LaPorta,TE,191.88681266
3116165,Chris Godwin Jr.,WR,187.34269534
4036133,T.J. Hockenson,TE,184.75269425
15818,Keenan Allen,WR,184.64769333
4635008,Keon Coleman,WR,180.98424897
4567750,Emeka Egbuka,WR,180.97189523
3068267,Austin Ekeler,RB,180.56792698
15847,Travis Kelce,TE,180.17245142
4688813,Josh Downs,WR,179.3803694
4032473,Rashid Shaheed,WR,179.29838258
4362249,Jayden Reed,WR,178.04194466
3123076,David Njoku,TE,176.62183574
