player_id,adp_dd_ppr,season,week
6462,1000.0,2025,1
11255,1000.0,2025,1
8842,1000.0,2025,1
7926,1000.0,2025,1
1875,1000.0,2025,1
8478,1000.0,2025,1
1408,1000.0,2025,1
8074,1000.0,2025,1
7311,1000.0,2025,1
2091,1000.0,2025,1
13175,1000.0,2025,1
11533,1000.0,2025,1
2199,1000.0,2025,1
2064,1000.0,2025,1
2801,1000.0,2025,1
4501,1000.0,2025,1
5852,1000.0,2025,1
3374,1000.0,2025,1
8012,1000.0,2025,1
7918,1000.0,2025,1
13229,1000.0,2025,1
5428,1000.0,2025,1
1982,1000.0,2025,1
12376,1000.0,2025,1
7882,1000.0,2025,1
8733,1000.0,2025,1
13221,1000.0,2025,1
11522,1000.0,2025,1
2474,1000.0,2025,1
8852,1000.0,2025,1
8809,1000.0,2025,1
9487,1000.0,2025,1
6923,1000.0,2025,1
7325,1000.0,2025,1
8716,1000.0,2025,1
6648,1000.0,2025,1
3342,1000.0,2025,1
1684,1000.0,2025,1
3268,1000.0,2025,1
4449,1000.0,2025,1
11072,1000.0,2025,1
6918,1000.0,2025,1
6137,1000.0,2025,1
12784,1000.0,2025,1
12602,1000.0,2025,1
11340,1000.0,2025,1
5668,1000.0,2025,1
13132,1000.0,2025,1
3561,1000.0,2025,1
12586,1000.0,2025,1
3356,1000.0,2025,1
6786,1000.0,2025,1
5038,1000.0,2025,1
10938,1000.0,2025,1
11584,1000.0,2025,1
2023,1000.0,2025,1
7116,1000.0,2025,1
11649,1000.0,2025,1
6783,1000.0,2025,1
12887,1000.0,2025,1
5592,1000.0,2025,1
7232,1000.0,2025,1
12213,1000.0,2025,1
11616,1000.0,2025,1
5965,1000.0,2025,1
11770,1000.0,2025,1
13064,1000.0,2025,1
4992,1000.0,2025,1
1590,1000.0,2025,1
4804,1000.0,2025,1
4529,1000.0,2025,1
12739,1000.0,2025,1
439,1000.0,2025,1
6858,1000.0,2025,1
1510,1000.0,2025,1
12785,1000.0,2025,1
4925,1000.0,2025,1
11155,1000.0,2025,1
12814,1000.0,2025,1
10926,1000.0,2025,1
9504,1000.0,2025,1
4828,1000.0,2025,1
11525,1000.0,2025,1
4396,1000.0,2025,1
12633,1000.0,2025,1
4038,1000.0,2025,1
1148,1000.0,2025,1
12507,1000.0,2025,1
12758,1000.0,2025,1
11439,1000.0,2025,1
11282,1000.0,2025,1
3730,1000.0,2025,1
7153,1000.0,2025,1
3414,1000.0,2025,1
11450,1000.0,2025,1
11109,1000.0,2025,1
8533,1000.0,2025,1
2330,1000.0,2025,1
5718,1000.0,2025,1
3916,1000.0,2025,1
12964,1000.0,2025,1
12452,1000.0,2025,1
6639,1000.0,2025,1
5530,1000.0,2025,1
11445,1000.0,2025,1
5619,1000.0,2025,1
5122,1000.0,2025,1
7823,1000.0,2025,1
7160,1000.0,2025,1
2854,1000.0,2025,1
11629,1000.0,2025,1
6623,1000.0,2025,1
5031,1000.0,2025,1
13024,1000.0,2025,1
12446,1000.0,2025,1
12342,1000.0,2025,1
7229,1000.0,2025,1
6478,1000.0,2025,1
2109,1000.0,2025,1
5003,1000.0,2025,1
12766,1000.0,2025,1
8361,1000.0,2025,1
2320,1000.0,2025,1
11037,1000.0,2025,1
1895,1000.0,2025,1
11906,1000.0,2025,1
5040,1000.0,2025,1
12493,1000.0,2025,1
2496,1000.0,2025,1
7144,1000.0,2025,1
3728,1000.0,2025,1
6581,1000.0,2025,1
4712,1000.0,2025,1
1660,1000.0,2025,1
7258,1000.0,2025,1
3040,1000.0,2025,1
12028,1000.0,2025,1
7399,1000.0,2025,1
1991,1000.0,2025,1
11512,1000.0,2025,1
12699,1000.0,2025,1
3488,1000.0,2025,1
